number,symbols,symbol_converted,fiber_converted,fiber,garment,L_1,S_1,소분류,색상,프린팅,소재,디테일,이숙종C_1차,이숙종C_2차,세풍_1차,세풍_2차,L_1,L_2,S_1,S_2,r,g,b,color,color2,new_color2,symbol_converted.1,fiber_converted,fiber_converted2
11, hand-wash-jp bleach_do-not wring-jp_do dry-kr_shadow dry-clean-kr_do-not,"[9, 3, 10, 0, 7]","['폴리에스터', '면']", 폴리에스터_35%|면_65%,캐주얼상의,0,0,스웨트셔츠,"[['#bfc8c3', 0.808387], ['#999b85', 0.065808594], ['#6e7153', 0.040274028], ['#363838', 0.085530415]]",['레터링'],['면'],['null'],1,0,1,6,0,-1,0,2,191,200,195,light,dark,dark,"[9, 3, 10, 0, 7]","['폴리에스터', '면']","[0, 1]"
12, iron_do-with-cloth hand-wash-jp wring-jp_do-not bleach_do-not dry-kr_shadow,"[6, 9, 16, 3, 0]","['면', '폴리에스터']", 면_80%|폴리에스터_20%,점퍼,0,0,항공점퍼,"[['#87c2d4', 0.95634097], ['#5c798e', 0.025690526], ['#2d3036', 0.017968519]]",['호피'],['합성섬유'],['집업'],2,0,2,7,0,-1,0,2,135,194,212,light,dark,dark,"[6, 9, 16, 3, 0]","['면', '폴리에스터']","[1, 0]"
13, dry-kr_normal dry-clean-kr_do bleach_do-not iron_do-not wash-jp_do-not,"[20, 2, 3, 21, 22]","['폴리에스터', '모', '폴리에스터']", 폴리에스터_90%|울_10%|폴리에스터_100%,블라우스,3,3,블라우스,"[['#c1ccc2', 0.56135094], ['#98a0a5', 0.0119904075], ['#677283', 0.011790568], ['#2c4053', 0.36330935], ['#2d3036', 0.01778577]]",['무지'],['합성섬유'],"['단추', '포켓']",12,0,12,6,3,-1,3,2,193,204,194,light,idk,light,"[20, 2, 3, 21, 22]","['폴리에스터', '모', '폴리에스터']","[0, 6, 0]"
14, iron_do-with-cloth bleach_do-not wash-jp_do tumble-dry_do-not dry-kr_shadow dry-clean-kr_do-not,"[6, 3, 4, 5, 0, 7]","['폴리우레탄', '면', '폴리에스터']", 폴리우레탄_14%|면_54%|폴리에스터_32%,팬츠,0,0,치노팬츠,"[['#79b5db', 0.9667098], ['#5b7e98', 0.033290178]]",['무지'],['면'],"['포켓', '단추']",3,0,1,6,0,-1,0,2,121,181,219,light,white,light,"[6, 3, 4, 5, 0, 7]","['폴리우레탄', '면', '폴리에스터']","[2, 1, 0]"
15, iron_do-with-cloth hand-wash-jp bleach_do-not wring-jp_do dry-kr_shadow dry-clean-kr_do-not,"[6, 9, 3, 10, 0, 7]",['면'], 면_100%,캐주얼상의,0,0,후드,"[['#fb9f93', 0.7436372], ['#ffc4bc', 0.14329785], ['#f3e779', 0.07882153], ['#face6d', 0.017430201], ['#f6c289', 0.016813204]]",['무지'],['면'],"['포켓', '후드', '집업']",3,1,1,6,0,0,0,2,251,159,147,light,white,light,"[6, 9, 3, 10, 0, 7]",['면'],[1]
16, iron_do-with-cloth bleach_do wash-jp_do tumble-dry_do-not dry-kr_shadow dry-clean-kr_do-not,"[6, 18, 4, 5, 0, 7]","['폴리우레탄', '면']", 폴리우레탄_4%|면_96%,팬츠,0,0,스웨트팬츠,"[['#bdc6dc', 1.0]]",['무지'],['면'],['포켓'],2,0,2,7,0,-1,0,2,189,198,220,light,dark,dark,"[6, 18, 4, 5, 0, 7]","['폴리우레탄', '면']","[2, 1]"
17, dry-clean_do-not wash_do iron_do bleach_do-not tumble-dry_do wash-jp_do dry-clean-kr_do-not,"[17, 23, 1, 3, 19, 4, 7]","['면', '면']", 면_100%|COTTON_100%,팬츠,0,2,스웨트팬츠,"[['#eddd59', 0.78743196], ['#f8dc6c', 0.06284009], ['#8699ab', 0.04300509], ['#a7a19e', 0.011936107], ['#b0b454', 0.023521151]]",['그래픽'],['저지'],['null'],3,0,6,1,0,-1,2,0,237,221,89,light,white,light,"[17, 23, 1, 3, 19, 4, 7]","['면', '면']","[1, 1]"
18, tumble-dry_do wash_do-gentle iron_do bleach_do-not,"[19, 24, 1, 3]",['면'], COTTON_100%,팬츠,0,2,스웨트팬츠,"[['#ff6f61', 0.91690546], ['#d9615b', 0.05730659], ['#884344', 0.025787966]]",['무지'],['합성섬유'],"['포켓', '포켓']",4,0,7,4,0,-1,2,0,255,111,97,light,dark,dark,"[19, 24, 1, 3]",['면'],[1]
19, iron_do-not dry-clean-kr_do-not hand-wash-jp bleach_do-not,"[21, 7, 9, 3]","['솜털', '나일론', '폴리에스터', '깃털']", 오리솜털_60%|나일론_100%|폴리에스터_100%|오리깃털_40%,패딩,1,-1,패딩,"[['#c3dbd4', 0.4473524], ['#8e918f', 0.17833231], ['#289dbe', 0.10265774], ['#4abbd5', 0.057009537], ['#fade85', 0.1369446]]",['체크'],['합성섬유'],['후드'],5,0,0,0,1,-1,-1,-1,195,219,212,light,idk,light,"[21, 7, 9, 3]","['솜털', '나일론', '폴리에스터', '깃털']","[3, 4, 0, 5]"
20, wash_do-perm-press iron_do-with-cloth dry-clean_do-not iron_do bleach_do-not dry_shadow wash-jp_do dry-kr_shadow dry-clean-kr_do-not,"[12, 6, 17, 1, 3, 14, 4, 0, 7]","['면', '면']", 면_100%|Cotton_100%,캐주얼상의,0,2,티셔츠,"[['#539ccc', 0.48086765], ['#748995', 0.4296856], ['#f7b768', 0.057275165], ['#46515a', 0.03217158]]",['레터링'],['면'],['드롭숄더'],1,0,6,1,0,-1,2,0,83,156,204,light,dark,dark,"[12, 6, 17, 1, 3, 14, 4, 0, 7]","['면', '면']","[1, 1]"
21, dry-clean_do-not wash_do iron_do tumble-dry_do bleach_do-not wash-jp_do dry-clean-kr_do-not,"[17, 23, 1, 19, 3, 4, 7]","['폴리에스터', '면', '면', '폴리에스터']", POLYESTER_100%|면_100%|Cotton_100%|폴리에스터_100%,점프수트,0,0,점프수트,"[['#7f8793', 0.9590873], ['#4e545b', 0.040912665]]",['무지'],['벨벳'],"['후드', '집업']",1,6,1,6,0,2,0,2,127,135,147,light,dark,dark,"[17, 23, 1, 19, 3, 4, 7]","['폴리에스터', '면', '면', '폴리에스터']","[0, 1, 1, 0]"
22, hand-wash-jp bleach_do-not iron_do-not dry-kr_shadow dry-clean-kr_do-not,"[9, 3, 21, 0, 7]","['폴리에스터', '폴리에스터', '면', '면']", Polyester_51%|폴리에스터_51%|Cotton_49%|면_49%,캐주얼상의,0,0,후드,"[['#ea6b6a', 0.6378567], ['#ce8e8b', 0.08109218], ['#41424a', 0.16403203], ['#827e7c', 0.015602546], ['#bebdbd', 0.015191953]]",['무지'],['면'],['후드'],3,11,1,6,0,3,0,2,234,107,106,light,white,light,"[9, 3, 21, 0, 7]","['폴리에스터', '폴리에스터', '면', '면']","[0, 0, 1, 1]"
23, iron_do-with-cloth bleach_do-not wash-jp_do tumble-dry_do-not dry-kr_shadow,"[6, 3, 4, 5, 0]","['면', '마']", 면_58%|린넨_42%,블라우스,3,3,블라우스,"[['#c6d2d2', 0.9715026], ['#7f8793', 0.017487047], ['#585e6f', 0.011010363]]",['무지'],['면'],"['셔링', '단추']",9,0,9,6,3,-1,3,2,198,210,210,light,dark,dark,"[6, 3, 4, 5, 0]","['면', '마']","[1, 7]"
24, iron_do-with-cloth dry-kr_shadow wash-jp_do bleach_do-not,"[6, 0, 4, 3]",['면'], 면_100%,캐주얼상의,0,2,후드,"[['#436573', 0.66879815], ['#c1a27c', 0.18645546], ['#34414e', 0.10449062], ['#768a75', 0.020200552], ['#656344', 0.020055225]]",['그래픽'],['면'],['null'],3,0,8,3,0,-1,2,0,67,101,115,dark,white,light,"[6, 0, 4, 3]",['면'],[1]
26, iron_do-with-cloth bleach_do wash-jp_do tumble-dry_do-not dry-kr_shadow dry-clean-kr_do-not,"[6, 18, 4, 5, 0, 7]",['면'], 면_100%,탑,0,0,탱크탑,"[['#ff8c55', 0.92455417], ['#c96551', 0.045816187], ['#ab4f41', 0.015089164], ['#8f423b', 0.0145404665]]",['레터링'],['면'],['스트랩'],1,0,1,6,0,-1,0,2,255,140,85,light,dark,dark,"[6, 18, 4, 5, 0, 7]",['면'],[1]
27, wash_do-perm-press iron_do-with-cloth dry-clean_do-not wash_do iron_do bleach_do-not dry_shadow wash-jp_do tumble-dry_do-not dry-kr_shadow dry-clean-kr_do-not,"[12, 6, 17, 23, 1, 3, 14, 4, 5, 0, 7]","['면', '면']", 면_100%|COTTON_100%,캐주얼상의,0,0,티셔츠,"[['#2f3e55', 0.43711552], ['#c4d6d3', 0.42652085], ['#546477', 0.061859194], ['#879ba3', 0.05673274], ['#2d3036', 0.017771702]]",['스트라이프'],['면'],['null'],3,0,1,6,0,-1,0,2,47,62,85,dark,white,light,"[12, 6, 17, 23, 1, 3, 14, 4, 5, 0, 7]","['면', '면']","[1, 1]"
28, iron_do-with-cloth dry-kr_shadow hand-wash-jp bleach_do-not,"[6, 0, 9, 3]","['폴리우레탄', '면']", 폴리우레탄_2%|면_98%,청바지,0,0,청바지,"[['#b0b7be', 0.96505654], ['#434447', 0.034943473]]",['그라데이션'],['데님'],"['포켓', '디스트로이드', '벨트']",2,0,2,7,0,-1,0,2,176,183,190,light,dark,dark,"[6, 0, 9, 3]","['폴리우레탄', '면']","[2, 1]"
29, iron_do-with-cloth hand-wash-jp iron_do bleach_do-not hand-wash dry_shadow dry-kr_shadow,"[6, 9, 1, 3, 25, 14, 0]","['레이온', '레이온']", Viscose_100%|비스코스_100%,팬츠,0,2,스웨트팬츠,"[['#5487a4', 0.44437653], ['#546477', 0.27108803], ['#434854', 0.1301956], ['#b0d3d1', 0.15433985]]",['무지'],['합성섬유'],"['스트랩', '포켓']",1,0,6,9,0,-1,2,3,84,135,164,dark,dark,dark,"[6, 9, 1, 3, 25, 14, 0]","['레이온', '레이온']","[8, 8]"
30, dry-kr_shadow iron_do-not hand-wash-jp bleach_do-not,"[0, 21, 9, 3]","['깃털', '솜털', '폴리에스터', '모피']", 거위깃털_20%|거위솜털_80%|폴리에스터_100%|여우털_100%,패딩,1,1,패딩,"[['#c6c5c6', 0.94441795], ['#626879', 0.023854962], ['#bdb0d0', 0.031727098]]",['무지'],['합성섬유'],"['퀼팅', '후드', '단추']",5,0,5,0,1,-1,1,-1,198,197,198,light,idk,light,"[0, 21, 9, 3]","['깃털', '솜털', '폴리에스터', '모피']","[5, 3, 0, 9]"
31, dry-clean_do-not bleach_do iron_do tumble-dry_do tumble-dry_do-gentle wash_do-gentle,"[17, 18, 1, 19, 26, 24]",['면'], COTTON_100%,캐주얼상의,0,0,폴로셔츠,"[['#96dfce', 0.9553794], ['#6baaae', 0.02392485], ['#272f38', 0.02069573]]",['레터링'],['저지'],['null'],1,0,1,6,0,-1,0,2,150,223,206,light,dark,dark,"[17, 18, 1, 19, 26, 24]",['면'],[1]
32, wash_do-perm-press iron_do-with-cloth dry-clean_do-not iron_do bleach_do-not dry_shadow wash-jp_do tumble-dry_do-not dry-kr_shadow wash_do-gentle dry-clean-kr_do-not,"[12, 6, 17, 1, 3, 14, 4, 5, 0, 24, 7]","['면', '면', '폴리에스터', '면', '면', '폴리에스터']", Cotton_100%|cotton_35%|Polyester_65%|면_100%|면_35%|폴리에스터_65%,모자,0,2,버킷햇,"[['#cbd5b1', 0.965735], ['#888d82', 0.019106269], ['#3c3f4a', 0.015158692]]",['무지'],['null'],[],1,0,6,1,0,-1,2,0,203,213,177,light,dark,dark,"[12, 6, 17, 1, 3, 14, 4, 5, 0, 24, 7]","['면', '면', '폴리에스터', '면', '면', '폴리에스터']","[1, 1, 0, 1, 1, 0]"
33, wash_do-perm-press iron_do-with-cloth dry-clean_do-not hand-wash-jp wash_do bleach_do-not wring-jp_do tumble-dry_do-not dry-kr_shadow,"[12, 6, 17, 9, 23, 3, 10, 5, 0]",['면'], 면_100%,팬츠,0,2,스웨트팬츠,"[['#cfc8bd', 0.98139673], ['#84898c', 0.018603278]]",['무지'],['면'],['포켓'],2,0,7,2,0,-1,2,0,207,200,189,light,dark,dark,"[12, 6, 17, 9, 23, 3, 10, 5, 0]",['면'],[1]
34, wash_do-perm-press dry-clean_do-not bleach_do iron_do tumble-dry_do bleach_do-not,"[12, 17, 18, 1, 19, 3]",['면'], COTTON_100%,팬츠,0,0,슬랙스,"[['#cebaa8', 0.9298301], ['#4e545b', 0.049087476], ['#8a7e78', 0.021082442]]",['무지'],['면'],['포켓'],3,0,1,6,0,-1,0,2,206,186,168,light,white,light,"[12, 17, 18, 1, 19, 3]",['면'],[1]
35, hand-wash-jp iron_do bleach_do-not wring-jp_do tumble-dry_do-not dry-clean-kr_do-not,"[9, 1, 3, 10, 5, 7]",['폴리에스터'], 폴리에스터_100%,캐주얼상의,2,-1,티셔츠,"[['#b0b7be', 0.7825516], ['#58646d', 0.039962478], ['#b2d4dd', 0.13846155], ['#272f38', 0.03902439]]",['레터링'],['면'],['null'],6,0,0,0,2,-1,-1,-1,176,183,190,light,dark,dark,"[9, 1, 3, 10, 5, 7]",['폴리에스터'],[0]
37, dry-clean_do-not bleach_do tumble-dry_do iron_do-not wash_do-gentle,"[17, 18, 19, 21, 24]",['폴리에스터'], POLYESTER_100%,팬츠,0,0,스웨트팬츠,"[['#ee819f', 0.9003304], ['#d2738f', 0.030286344], ['#ff8d94', 0.025881058], ['#ad6d7f', 0.017621145], ['#ff9687', 0.011013215]]",['레터링'],['합성섬유'],"['라인', '포켓']",2,0,2,7,0,-1,0,2,238,129,159,light,dark,dark,"[17, 18, 19, 21, 24]",['폴리에스터'],[0]
38, iron_do-with-cloth dry-kr_shadow hand-wash-jp bleach_do-not,"[6, 0, 9, 3]","['면', '레이온']", COTTON_60%|MODAL_40%,셔츠,3,3,셔츠,"[['#539ccc', 0.9419993], ['#4e545b', 0.039576937], ['#748995', 0.018423745]]",['무지'],['면'],"['단추', '포켓']",10,0,11,7,3,-1,3,2,83,156,204,light,dark,dark,"[6, 0, 9, 3]","['면', '레이온']","[1, 8]"
39, iron_do-with-cloth bleach_do-not wring-jp_do wash-jp_do dry-kr_shadow dry-clean-kr_do-not,"[6, 3, 10, 4, 0, 7]",['폴리에스터'], 폴리에스터_100%,점퍼,0,0,블루종,"[['#ffbb9e', 0.9361252], ['#d8e8e6', 0.04145516], ['#ce8e8b', 0.022419628]]",['레터링'],['합성섬유'],"['단추', '포켓']",1,0,1,6,0,-1,0,2,255,187,158,light,dark,dark,"[6, 3, 10, 4, 0, 7]",['폴리에스터'],[0]
40, iron_do-with-cloth hand-wash-jp bleach_do-not dry-kr_shadow dry-clean-kr_do-not,"[6, 9, 3, 0, 7]","['깃털', '솜털', '나일론', '폴리에스터']", 깃털_20%|솜털_80%|나일론_100%|폴리에스터_100%,패딩,1,1,패딩,"[['#7f8793', 0.51261014], ['#879ba3', 0.39137042], ['#434447', 0.063506536], ['#d0d9d4', 0.032512914]]",['무지'],['합성섬유'],"['포켓', '패딩', '후드']",5,0,5,0,1,-1,1,-1,127,135,147,light,idk,light,"[6, 9, 3, 0, 7]","['깃털', '솜털', '나일론', '폴리에스터']","[5, 3, 4, 0]"
41, iron_do-with-cloth dry-kr_shadow dry-clean-kr_do bleach_do-not,"[6, 0, 2, 3]","['폴리에스터', '모', '깃털', '폴리에스터', '솜털', '모피']", 폴리에스터_63%|모_37%|오리깃털_20%|폴리에스터_100%|오리솜털_80%|실버폭스_100%,패딩,4,4,패딩,"[['#5b7e98', 0.9490966], ['#4e545b', 0.032140374], ['#897f98', 0.01876303]]",['스트라이프'],['합성섬유'],"['퀼팅', '포켓', '집업']",13,0,13,0,4,-1,4,-1,91,126,152,dark,idk,dark,"[6, 0, 2, 3]","['폴리에스터', '모', '깃털', '폴리에스터', '솜털', '모피']","[0, 6, 5, 0, 3, 9]"
42, iron_do-with-cloth hand-wash-jp bleach_do-not wring-jp_do tumble-dry_do-not dry-kr_shadow dry-clean-kr_do-not,"[6, 9, 3, 10, 5, 0, 7]","['폴리에스터', '레이온']", 폴리에스터_69%|레이온_31%,캐주얼상의,0,2,티셔츠,"[['#a2b9c2', 0.4114705], ['#52a2b4', 0.34878293], ['#b0d3d1', 0.20173392], ['#76afb6', 0.021673892], ['#434447', 0.01633878]]",['스트라이프'],['면'],['슬릿'],3,0,7,1,0,-1,2,0,162,185,194,light,white,light,"[6, 9, 3, 10, 5, 0, 7]","['폴리에스터', '레이온']","[0, 8]"
44, iron_do-with-cloth tumble-dry_do bleach_do-not wash-jp_do dry-clean-kr_do-not,"[6, 19, 3, 4, 7]","['폴리우레탄', '면']", 폴리우레탄_2%|면_98%,청바지,0,0,청바지,"[['#539ccc', 0.9509965], ['#46647e', 0.021393308], ['#cfdfdb', 0.015724996], ['#434447', 0.011885171]]",['그라데이션'],['데님'],"['포켓', '단추']",1,9,2,7,0,3,0,2,83,156,204,light,dark,dark,"[6, 19, 3, 4, 7]","['폴리우레탄', '면']","[2, 1]"
45, dry-kr_shadow dry-clean-kr_do-not hand-wash-jp bleach_do-not,"[0, 7, 9, 3]","['폴리에스터', '면', '면']", 폴리에스터_30%|면_100%|면_70%,블라우스,0,2,블라우스,"[['#5d96bc', 0.97323865], ['#34414e', 0.026761333]]",['플로럴'],['면'],"['패치워크', '러플']",1,0,6,1,0,-1,2,0,93,150,188,light,dark,dark,"[0, 7, 9, 3]","['폴리에스터', '면', '면']","[0, 1, 1]"
46, iron_do-with-cloth dry-kr_shadow wash-jp_do bleach_do-not,"[6, 0, 4, 3]",['면'], 면_100%,블라우스,0,2,블라우스,"[['#cacccb', 0.9562441], ['#92949b', 0.016338028], ['#626879', 0.011267605], ['#323137', 0.016150234]]",['무지'],['면'],['러플'],3,11,6,9,0,3,2,3,202,204,203,light,white,light,"[6, 0, 4, 3]",['면'],[1]
47, dry-clean_do-not hand-wash-jp bleach_do-not hand-wash dry_shadow iron_do-not tumble-dry_do-not dry-kr_shadow dry-clean-kr_do-not,"[17, 9, 3, 25, 14, 21, 5, 0, 7]","['폴리에스터', '깃털', '깃털', '솜털', '솜털', '폴리에스터']", POLYESTER_100%|깃털_20%|DUCK FEATHER(WHITE)_20%|DUCK DOWN(WHITE)_80%|솜털_80%|폴리에스터_100%,패딩,1,1,패딩,"[['#bcc8c6', 0.43936476], ['#686d6c', 0.33662176], ['#2d3036', 0.22401348]]",['무지'],['합성섬유'],"['포켓', '후드', '퀼팅']",5,0,5,0,1,-1,1,-1,188,200,198,light,idk,light,"[17, 9, 3, 25, 14, 21, 5, 0, 7]","['폴리에스터', '깃털', '깃털', '솜털', '솜털', '폴리에스터']","[0, 5, 5, 3, 3, 0]"
48, iron_do-with-cloth hand-wash-jp bleach_do-not tumble-dry_do-not dry-kr_shadow,"[6, 9, 3, 5, 0]","['나일론', '아크릴', '폴리에스터', '모']", 나일론_23%|아크릴_17%|폴리에스테르_100%|울_60%,코트,3,2,더플코트,"[['#bccab3', 0.97788274], ['#80817d', 0.022117242]]",['무지'],['울/캐시미어'],"['포켓', '포켓']",9,0,7,0,3,-1,2,-1,188,202,179,light,dark,dark,"[6, 9, 3, 5, 0]","['나일론', '아크릴', '폴리에스터', '모']","[4, 10, 0, 6]"
49, iron_do-with-cloth dry-kr_shadow hand-wash-jp bleach_do-not,"[6, 0, 9, 3]","['폴리우레탄', '면']", 폴리우레탄_2%|면_98%,청바지,0,0,청반바지,"[['#a2b9c2', 0.732012], ['#cad3c1', 0.21535642], ['#7a898f', 0.03164557], ['#3a363b', 0.02098601]]",['무지'],['데님'],"['단추', '포켓', '컷오프']",2,0,2,7,0,-1,0,2,162,185,194,light,dark,dark,"[6, 0, 9, 3]","['폴리우레탄', '면']","[2, 1]"
50, iron_do-with-cloth dry-clean-kr_do bleach_do wash-jp_do tumble-dry_do-not dry-kr_shadow,"[6, 2, 18, 4, 5, 0]","['면', '폴리에스터', '폴리에스터']", 면_20%|폴리에스터_80%|폴리에스터_100%,스커트,3,2,러플스커트,"[['#a2b6b9', 0.97748053], ['#66676d', 0.022519471]]",['도트'],['면'],['프릴'],9,0,6,1,3,-1,2,0,162,182,185,light,dark,dark,"[6, 2, 18, 4, 5, 0]","['면', '폴리에스터', '폴리에스터']","[1, 0, 0]"
51, iron_do-with-cloth hand-wash-jp bleach_do-not wring-jp_do dry-kr_shadow,"[6, 9, 3, 10, 0]",['폴리에스터'], 폴리에스테르_100%,캐주얼상의,2,2,스웨트셔츠,"[['#658dc6', 0.9162892], ['#a1c8db', 0.033520564], ['#3272af', 0.023192607], ['#0f5f9a', 0.015582533], ['#d8e8e6', 0.011415112]]",['무지'],['면'],['집업'],8,0,6,1,2,-1,2,0,101,141,198,light,white,light,"[6, 9, 3, 10, 0]",['폴리에스터'],[0]
52, iron_do-with-cloth wring-jp_do-not wash_do-not bleach_do-not tumble-dry_do-not dry-kr_shadow,"[6, 16, 27, 3, 5, 0]","['모피', '인조가죽', '폴리에스터']", 토끼털_100%|합성피혁_100%|폴리에스터_100%,패딩,4,3,패딩,"[['#dfdac0', 0.93272537], ['#84898c', 0.04542326], ['#a7ae9e', 0.021851342]]",['무지'],['합성섬유'],"['포켓', '단추', '후드']",13,0,9,0,4,-1,3,-1,223,218,192,light,idk,light,"[6, 16, 27, 3, 5, 0]","['모피', '인조가죽', '폴리에스터']","[9, 11, 0]"
53, wash_do-perm-press dry-clean_do-not bleach_do iron_do tumble-dry_do wash-jp_do dry-clean-kr_do-not,"[12, 17, 18, 1, 19, 4, 7]","['면', '면']", 면_100%|COTTON_100%,캐주얼상의,0,2,티셔츠,"[['#ff6f61', 0.8173326], ['#dc7178', 0.028022833], ['#985f68', 0.010378827], ['#6da9d2', 0.13025428], ['#c193c0', 0.014011417]]",['그래픽'],['면'],['드롭숄더'],4,0,7,4,0,-1,2,0,255,111,97,light,dark,dark,"[12, 17, 18, 1, 19, 4, 7]","['면', '면']","[1, 1]"
54, iron_do-with-cloth hand-wash-jp bleach_do-not wring-jp_do dry-kr_shadow dry-clean-kr_do-not,"[6, 9, 3, 10, 0, 7]","['폴리에스터', '면']", 폴리에스터_22%|면_78%,캐주얼상의,0,0,티셔츠,"[['#ff7f6a', 0.5700326], ['#ea6b6a', 0.13029316], ['#bf6464', 0.04678709], ['#39373b', 0.149541], ['#886971', 0.06781167]]",['레터링'],['저지'],['null'],2,0,2,7,0,-1,0,2,255,127,106,light,dark,dark,"[6, 9, 3, 10, 0, 7]","['폴리에스터', '면']","[0, 1]"
